Time	gauge_0	gauge_1	gauge_2	gauge_3	gauge_4	gauge_5	gauge_6	gauge_7	gauge_8	gauge_9	gauge_10	gauge_11	gauge_12	gauge_13	gauge_14	gauge_15	gauge_16	gauge_17
9.1	0.1953337	0.10831371	0.052113117	0.033241016	0.026702029	0.02405699	0.055523203	0.019505446	-0.063741593	-0.02835011	0.0034993401	0.00062853882	0.31053161	-7.2365221e-07	-0.011501812	-0.026500612	-1.4748884e-07	-9.4198356e-09
9.2	0.16025014	0.10042396	0.047865139	0.03052205	0.02490583	0.022876517	0.054748313	0.018977383	-0.064049352	-0.028452046	0.0034777071	0.00062210391	0.31053077	-1.1924341e-06	-0.01150203	-0.026500687	-1.6941781e-07	-1.0648336e-08
9.3	0.12252453	0.09202015	0.043431979	0.027706963	0.023047981	0.021651668	0.053939413	0.018424034	-0.064370944	-0.028557498	0.0034551208	0.00061503957	0.3105296	-1.9644401e-06	-0.011502388	-0.026500808	-2.0148016e-07	-1.2303966e-08
9.4	0.082133712	0.083083363	0.03880872	0.024794242	0.021127755	0.020381857	0.053095883	0.017845067	-0.06470663	-0.028667338	0.0034312313	0.00060712925	0.31052805	-3.0382574e-06	-0.011502854	-0.02650095	-2.3334736e-07	-1.3654091e-08
9.5	0.039041564	0.073596045	0.033992169	0.021783502	0.019145303	0.019067225	0.052217735	0.017240429	-0.065056431	-0.028781753	0.0034057853	0.00059828625	0.31052615	-4.3418432e-06	-0.01150337	-0.026501088	-2.6091998e-07	-1.4790826e-08
9.6	-0.0067675953	0.063537869	0.028976953	0.018672642	0.017099591	0.017707035	0.05130441	0.016609762	-0.065420736	-0.028901314	0.0033784077	0.00058835407	0.31052386	-5.8625216e-06	-0.011503934	-0.026501233	-2.9239578e-07	-1.6367446e-08
9.7	-0.055296942	0.052890394	0.02375852	0.015460192	0.014989676	0.016300618	0.050355389	0.015952751	-0.065799821	-0.029026569	0.0033487328	0.00057715605	0.31052118	-7.5972583e-06	-0.011504551	-0.026501392	-3.2670817e-07	-1.7952974e-08
9.8	-0.10656416	0.041630961	0.018329322	0.012142755	0.01281356	0.014846376	0.049369487	0.015268611	-0.066194317	-0.029158035	0.0033162384	0.00056444344	0.31051776	-9.5908375e-06	-0.011505251	-0.026501577	-3.691996e-07	-2.0106219e-08
9.9	-0.16054325	0.029735511	0.012682013	0.0087169813	0.010569253	0.013342924	0.048345502	0.014556524	-0.066604878	-0.029296471	0.0032804382	0.00054999294	0.31051339	-1.1884286e-05	-0.011506055	-0.026501792	-4.1768191e-07	-2.2369916e-08
10	-0.21720014	0.01718293	0.0068101602	0.0051804544	0.0082553907	0.011789237	0.047282699	0.01381589	-0.06703206	-0.029442539	0.003240954	0.00053367495	0.31050806	-1.4465654e-05	-0.011506944	-0.026502023	-4.6726873e-07	-2.4601094e-08
10.1	-0.27650892	0.0039492754	0.00070473788	0.0015285938	0.0058692949	0.010183435	0.046179644	0.013045737	-0.067476732	-0.029597079	0.0031972609	0.00051524437	0.31050173	-1.7361878e-05	-0.01150793	-0.026502279	-5.2458797e-07	-2.7535236e-08
10.2	-0.33842802	-0.0099910562	-0.0056434704	-0.0022436762	0.0034075634	0.0085230763	0.045034581	0.012244812	-0.067939914	-0.029761108	0.0031486417	0.00049438521	0.31049429	-2.0629661e-05	-0.011509044	-0.026502573	-5.9034008e-07	-3.0516871e-08
10.3	-0.40291267	-0.02465682	-0.012240128	-0.0061383395	0.00086895505	0.0068070995	0.043846683	0.011412562	-0.068422161	-0.029935253	0.0030946861	0.00047099276	0.3104858	-2.4214684e-05	-0.011510237	-0.026502873	-6.5211893e-07	-3.3187726e-08
10.4	-0.46996154	-0.040063563	-0.019089453	-0.010156231	-0.0017464871	0.0050355213	0.042615693	0.010548791	-0.068923757	-0.030119944	0.0030352647	0.0004451514	0.31047639	-2.8006227e-05	-0.011511442	-0.026503158	-7.0732707e-07	-3.5476955e-08
